sample_name,is_qc,is_blank,type
PLASMA01_C18neg,no,no,plasma
PLASMA02_C18neg,no,no,plasma
PLASMA03_C18neg,no,no,plasma
PLASMA05_C18neg,no,no,plasma
PLASMA06_C18neg,no,no,plasma
PLASMA07_C18neg,no,no,plasma
PLASMA08_C18neg,no,no,plasma
PLASMA09_C18neg,no,no,plasma
PLASMA10_C18neg,no,no,plasma
PLASMA11_C18neg,no,no,plasma
PLASMA12_C18neg,no,no,plasma
PLASMA13_C18neg,no,no,plasma
PLASMA14_C18neg,no,no,plasma
PLASMA15_C18neg,no,no,plasma
QC1_C18neg,yes,no,qc
QC2_C18neg,yes,no,qc
QC3_C18neg,yes,no,qc
QC4_C18neg,yes,no,qc
QC5_C18neg,yes,no,qc
QC6_C18neg,yes,no,qc
QCDDA_SCAN1_01_C18neg,yes,no,qc
QCDDA_SCAN1_02_C18neg,yes,no,qc
QCDDA_SCAN2_01_C18neg,yes,no,qc
QCDDA_SCAN2_02_C18neg,yes,no,qc
QCDDA_SCAN3_01_C18neg,yes,no,qc
QCDDA_SCAN3_02_C18neg,yes,no,qc
SERUM01_C18neg,no,no,serume
SERUM02_C18neg,no,no,serume
SERUM03_C18neg,no,no,serume
SERUM04_C18neg,no,no,serume
SERUM05_C18neg,no,no,serume
SERUM06_C18neg,no,no,serume
SERUM07_C18neg,no,no,serume
SERUM08_C18neg,no,no,serume
SERUM09_C18neg,no,no,serume
SERUM10_C18neg,no,no,serume
SERUM11_C18neg,no,no,serume
SERUM12_C18neg,no,no,serume
SERUM13_C18neg,no,no,serume
SERUM14_C18neg,no,no,serume
SERUM15_C18neg,no,no,serume
WB01_C18neg,no,no,blood
WB02_C18neg,no,no,blood
WB03_C18neg,no,no,blood
WB04_C18neg,no,no,blood
WB05_C18neg,no,no,blood
WB06_C18neg,no,no,blood
WB07_C18neg,no,no,blood
WB08_C18neg,no,no,blood
WB09_C18neg,no,no,blood
WB10_C18neg,no,no,blood
WB11_C18neg,no,no,blood
WB12_C18neg,no,no,blood
WB13_C18neg,no,no,blood
WB14_C18neg,no,no,blood
WB15_C18neg,no,no,blood
